order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,order_month,gmv,province_top
1703458,2019-10-17,14004,Jakarta Selatan,DKI Jakarta,P1910,BRAND_J,10,740000,2019-10,7400000,DKI Jakarta
1706815,2019-10-24,17220,Jakarta Selatan,DKI Jakarta,P2934,BRAND_R,2,604000,2019-10,1208000,DKI Jakarta
1710718,2019-11-03,16518,Jakarta Utara,DKI Jakarta,P0908,BRAND_C,8,1045000,2019-11,8360000,DKI Jakarta
1683592,2019-08-19,16364,Jakarta Barat,DKI Jakarta,P0128,BRAND_A,4,205000,2019-08,820000,DKI Jakarta
1702573,2019-10-16,15696,Jakarta Timur,DKI Jakarta,P2968,BRAND_R,2,4475000,2019-10,8950000,DKI Jakarta
1672906,2019-07-16,12748,Jakarta Utara,DKI Jakarta,P0710,BRAND_C,4,520000,2019-07,2080000,DKI Jakarta
1711399,2019-11-04,16791,Jakarta Barat,DKI Jakarta,P0860,BRAND_C,1,1465000,2019-11,1465000,DKI Jakarta
1695367,2019-09-26,13069,Surakarta,Jawa Tengah,P3342,BRAND_S,2,205000,2019-09,410000,Jawa Tengah
1741846,2019-12-30,16873,Jakarta Barat,DKI Jakarta,P3203,BRAND_S,32,450000,2019-12,14400000,DKI Jakarta
1720189,2019-11-24,14723,Tangerang,Banten,P1701,BRAND_H,2,149000,2019-11,298000,other
1683583,2019-08-19,13814,Denpasar,Bali,P2864,BRAND_R,6,1045000,2019-08,6270000,other
1693309,2019-09-19,17841,Jakarta Utara,DKI Jakarta,P1798,BRAND_H,1,604000,2019-09,604000,DKI Jakarta
1708381,2019-10-29,13895,Tangerang,Banten,P2074,BRAND_L,3,2200000,2019-10,6600000,other
1705093,2019-10-21,16999,Jakarta Utara,DKI Jakarta,P2521,BRAND_P,4,1745000,2019-10,6980000,DKI Jakarta
1734790,2019-12-18,17422,Jakarta Selatan,DKI Jakarta,P0122,BRAND_A,12,695000,2019-12,8340000,DKI Jakarta
1678960,2019-08-05,14552,Tangerang,Banten,P3482,BRAND_S,1,904000,2019-08,904000,other
1668715,2019-07-04,13397,Surabaya,Jawa Timur,P1902,BRAND_J,10,740000,2019-07,7400000,Jawa Timur
1714324,2019-11-11,14096,Surakarta,Jawa Tengah,P2022,BRAND_L,1,1748000,2019-11,1748000,Jawa Tengah
1669411,2019-07-07,15291,Jakarta Pusat,DKI Jakarta,P0931,BRAND_C,4,1395000,2019-07,5580000,DKI Jakarta
1731961,2019-12-13,13880,Bogor,Jawa Barat,P2853,BRAND_R,6,740000,2019-12,4440000,Jawa Barat
1690672,2019-09-11,15786,Jakarta Selatan,DKI Jakarta,P3273,BRAND_S,12,520000,2019-09,6240000,DKI Jakarta
1709671,2019-10-31,14738,Bandung,Jawa Barat,P4080,BRAND_W,24,113000,2019-10,2712000,Jawa Barat
1670806,2019-07-10,17651,Jakarta Pusat,DKI Jakarta,P1899,BRAND_J,10,740000,2019-07,7400000,DKI Jakarta
1703659,2019-10-17,12930,Yogyakarta,Yogyakarta,P1741,BRAND_H,6,1045000,2019-10,6270000,Yogyakarta
1698916,2019-10-07,14110,Bogor,Jawa Barat,P0817,BRAND_C,12,520000,2019-10,6240000,Jawa Barat
1668391,2019-07-04,15738,Jakarta Selatan,DKI Jakarta,P3409,BRAND_S,12,310000,2019-07,3720000,DKI Jakarta
1702162,2019-10-15,17450,Bogor,Jawa Barat,P3958,BRAND_W,96,607000,2019-10,58272000,Jawa Barat
